ID,cy_2011,cy_2012,cy_2013,cy_2014,cy_2015,cy_2016,cy_2017,cy_2018,cy_2019,cy_2020,cy_2021,cy_2022,cy_2023
8290,0,1,0,0,0,0,0,0,0,0,0,0,0
9445,3,2,1,1,0,1,1,1,0,2,2,2,0
8394,2,0,0,0,0,0,0,0,1,0,0,0,0
9446,3,3,0,1,0,0,2,0,1,2,1,0,0
8396,0,1,0,0,0,0,0,0,1,2,0,0,0
9448,0,1,0,0,0,0,0,0,0,0,1,0,0
8401,0,0,0,1,0,0,0,0,0,0,0,0,0
9548,0,0,0,0,0,0,0,0,0,3,0,0,0
8404,0,0,0,0,0,0,1,0,0,0,0,0,0
9549,0,0,1,0,0,0,0,0,0,2,0,0,0
8408,1,1,1,0,1,0,0,0,2,2,0,5,0
9553,1,0,0,0,0,0,0,0,1,0,0,0,0
8413,0,0,1,0,0,0,0,1,2,0,0,1,0
9554,0,0,0,0,1,1,0,0,0,0,2,0,0
8418,1,1,2,0,1,0,0,1,0,0,1,2,0
9555,0,0,0,0,0,0,0,2,0,0,0,0,0
8420,0,0,0,0,0,0,0,0,1,0,0,1,0
9556,0,1,1,0,0,0,0,0,0,1,0,1,0
8427,1,1,2,2,1,1,0,0,1,1,0,0,0
9559,1,0,0,0,0,0,1,0,0,4,0,0,0
8435,0,0,0,0,0,0,2,0,0,0,0,0,0
9562,0,0,1,0,0,0,0,0,0,0,0,0,0
8439,0,1,0,0,0,0,0,0,0,0,0,0,0
9564,2,2,0,0,1,0,1,0,0,0,0,0,0
8539,0,1,0,0,1,0,0,1,1,0,0,1,0
9565,0,0,1,3,1,0,0,2,0,2,0,0,0
8544,0,0,0,3,0,0,0,0,0,0,0,0,0
9570,3,1,0,1,1,1,1,2,3,2,0,0,0
8547,0,0,0,1,0,0,0,0,2,1,0,0,0
9572,5,7,2,1,1,3,3,3,7,5,5,1,0
8549,0,1,0,0,1,0,1,0,0,0,0,0,0
9573,4,3,1,1,2,0,0,0,2,0,0,0,0
8552,1,1,0,0,2,0,0,0,0,0,0,0,0
9574,6,4,3,4,4,1,3,2,2,0,3,2,0
8556,2,0,2,0,1,2,0,1,1,0,2,1,0
9579,3,4,1,6,4,2,4,1,6,2,0,3,0
8558,8,3,2,1,0,0,1,2,0,0,0,0,0
9585,0,0,1,0,0,0,0,0,0,0,0,0,0
8572,2,3,1,0,2,0,0,0,1,2,0,1,0
9587,0,0,0,0,1,0,0,0,0,2,0,0,0
8682,1,0,0,0,0,0,0,0,0,0,0,0,0
9591,0,0,0,1,0,2,1,1,0,0,1,2,0
8691,0,0,1,0,0,1,1,2,1,0,0,1,0
9593,1,0,0,0,1,0,0,1,0,0,1,0,0
8694,1,0,1,0,0,1,0,2,0,1,0,1,0
9692,0,0,0,0,0,0,2,0,0,0,1,0,0
8708,0,1,0,1,0,0,0,0,0,0,0,0,0
9693,2,1,0,0,0,0,0,1,1,2,0,0,0
8714,2,3,7,2,0,0,1,1,1,0,0,1,0
9694,0,0,1,0,0,1,0,0,2,5,0,0,0
8826,0,0,0,1,0,0,0,0,1,3,0,0,0
9699,1,0,1,0,0,0,1,0,0,0,0,0,0
8829,1,2,1,1,0,0,0,0,0,0,0,0,0
9700,0,3,0,0,0,0,2,0,0,1,2,2,0
8835,0,0,0,2,0,0,0,0,0,0,0,0,0
9702,0,1,1,0,1,0,2,0,0,0,1,1,0
8839,0,0,0,0,0,0,0,0,0,0,2,1,0
9705,0,2,0,3,0,2,7,3,1,2,0,1,0
8859,0,0,0,1,1,0,0,0,0,1,0,0,0
9706,0,1,1,0,0,0,0,0,0,0,0,0,0
8867,0,6,2,3,3,2,3,2,5,3,1,2,0
